id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
11,1310897108191510528,2020-09-29 11:00:00,"Here, happy https://t.co/3hgt2HIc4X",None,None,None,None,None,61,5,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310897107222618112, 'id_str': '1310897107222618112', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/media/EjE9-T0XYAAPZ0i.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE9-T0XYAAPZ0i.jpg', 'url': 'https://t.co/3hgt2HIc4X', 'display_url': 'pic.twitter.com/3hgt2HIc4X', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310897108191510528/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 335, 'h': 452, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 335, 'h': 452, 'resize': 'fit'}, 'small': {'w': 335, 'h': 452, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
12,1310836710595530752,2020-09-29 07:00:00,I am Bet Monster https://t.co/POo4DAG5Mf,None,None,None,None,None,145,21,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310836709496623105, 'id_str': '1310836709496623105', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/EjEHCswWkAEBBkf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjEHCswWkAEBBkf.jpg', 'url': 'https://t.co/POo4DAG5Mf', 'display_url': 'pic.twitter.com/POo4DAG5Mf', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310836710595530752/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 462, 'h': 582, 'resize': 'fit'}, 'large': {'w': 462, 'h': 582, 'resize': 'fit'}, 'small': {'w': 462, 'h': 582, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
13,1310776312680919045,2020-09-29 03:00:00,You're pregnant https://t.co/9IJn0F1FzP,None,None,None,None,None,233,37,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310776311510638592, 'id_str': '1310776311510638592', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EjDQHEuWoAAcvQL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjDQHEuWoAAcvQL.jpg', 'url': 'https://t.co/9IJn0F1FzP', 'display_url': 'pic.twitter.com/9IJn0F1FzP', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310776312680919045/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 390, 'h': 430, 'resize': 'fit'}, 'large': {'w': 390, 'h': 430, 'resize': 'fit'}, 'medium': {'w': 390, 'h': 430, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
14,1310715914824884224,2020-09-28 23:00:00,I don't want this face https://t.co/sm9LRrEhFh,None,None,None,None,None,569,132,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310715913835028481, 'id_str': '1310715913835028481', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EjCZLd2WoAEbj4m.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjCZLd2WoAEbj4m.jpg', 'url': 'https://t.co/sm9LRrEhFh', 'display_url': 'pic.twitter.com/sm9LRrEhFh', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310715914824884224/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 410, 'h': 520, 'resize': 'fit'}, 'large': {'w': 410, 'h': 520, 'resize': 'fit'}, 'medium': {'w': 410, 'h': 520, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
15,1310655520316043270,2020-09-28 19:00:01,Love You https://t.co/enMCBRBEZD,None,None,None,None,None,277,67,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310655518982254593, 'id_str': '1310655518982254593', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/EjBiQBfXsAECqvC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjBiQBfXsAECqvC.jpg', 'url': 'https://t.co/enMCBRBEZD', 'display_url': 'pic.twitter.com/enMCBRBEZD', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310655520316043270/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 394, 'h': 484, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 394, 'h': 484, 'resize': 'fit'}, 'medium': {'w': 394, 'h': 484, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
16,1310595118685196288,2020-09-28 15:00:00,Put it on https://t.co/rIsiGhGCQQ,None,None,None,None,None,96,13,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310595117644996609, 'id_str': '1310595117644996609', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/media/EjArUM-XYAEvbqt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjArUM-XYAEvbqt.jpg', 'url': 'https://t.co/rIsiGhGCQQ', 'display_url': 'pic.twitter.com/rIsiGhGCQQ', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310595118685196288/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 312, 'h': 452, 'resize': 'fit'}, 'small': {'w': 312, 'h': 452, 'resize': 'fit'}, 'medium': {'w': 312, 'h': 452, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
17,1310534720896356354,2020-09-28 11:00:00,As long as you press this button I'll give you a freestyle https://t.co/rw1cMYrrtO,None,None,None,None,None,115,14,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310534719646429185, 'id_str': '1310534719646429185', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/Ei_0Yk5XcAEiUob.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei_0Yk5XcAEiUob.jpg', 'url': 'https://t.co/rw1cMYrrtO', 'display_url': 'pic.twitter.com/rw1cMYrrtO', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310534720896356354/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 412, 'h': 528, 'resize': 'fit'}, 'large': {'w': 412, 'h': 528, 'resize': 'fit'}, 'medium': {'w': 412, 'h': 528, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
18,1310474322373496832,2020-09-28 07:00:00,Biu Biu Biu https://t.co/9qQuwm3vz0,None,None,None,None,None,111,20,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310474321257738240, 'id_str': '1310474321257738240', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/media/Ei-9c7XWsAAetOf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei-9c7XWsAAetOf.jpg', 'url': 'https://t.co/9qQuwm3vz0', 'display_url': 'pic.twitter.com/9qQuwm3vz0', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310474322373496832/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 392, 'h': 495, 'resize': 'fit'}, 'small': {'w': 392, 'h': 495, 'resize': 'fit'}, 'large': {'w': 392, 'h': 495, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,pl,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
19,1310413925800980480,2020-09-28 03:00:00,MERRY CHRISTMAS https://t.co/lbjdrSoX91,None,None,None,None,None,150,22,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310413924223811585, 'id_str': '1310413924223811585', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/Ei-GhW4WAAEeGNn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei-GhW4WAAEeGNn.jpg', 'url': 'https://t.co/lbjdrSoX91', 'display_url': 'pic.twitter.com/lbjdrSoX91', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310413925800980480/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 858, 'h': 610, 'resize': 'fit'}, 'large': {'w': 858, 'h': 610, 'resize': 'fit'}, 'small': {'w': 680, 'h': 483, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,et,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
20,1310353527567527936,2020-09-27 23:00:00,Smell chicken and dancing https://t.co/3epTnTKrdW,None,None,None,None,None,136,22,MokouBot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310353526476992512, 'id_str': '1310353526476992512', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/Ei9PlvvXcAABU7b.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei9PlvvXcAABU7b.jpg', 'url': 'https://t.co/3epTnTKrdW', 'display_url': 'pic.twitter.com/3epTnTKrdW', 'expanded_url': 'https://twitter.com/itdoesnteggs/status/1310353527567527936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 449, 'h': 522, 'resize': 'fit'}, 'small': {'w': 449, 'h': 522, 'resize': 'fit'}, 'medium': {'w': 449, 'h': 522, 'resize': 'fit'}}}]}",26524,False,1,False,MokouBot,False,False,en,"Give you drugs | None of the images are created by myself, they are all made by @jokanhiyou",False,itdoesnteggs,8480,False,False
